Prey, 733, Predator,396, Grass,0
Prey, 764, Predator,401, Grass,0
Prey, 795, Predator,395, Grass,0
Prey, 831, Predator,398, Grass,0
Prey, 862, Predator,402, Grass,0
Prey, 888, Predator,403, Grass,0
Prey, 924, Predator,407, Grass,0
Prey, 949, Predator,401, Grass,0
Prey, 989, Predator,405, Grass,0
Prey, 1032, Predator,402, Grass,0
Prey, 1082, Predator,405, Grass,0
Prey, 1130, Predator,403, Grass,0
Prey, 1173, Predator,407, Grass,0
Prey, 1216, Predator,415, Grass,0
Prey, 1254, Predator,414, Grass,0
Prey, 1305, Predator,414, Grass,0
Prey, 1358, Predator,421, Grass,0
Prey, 1399, Predator,415, Grass,0
Prey, 1452, Predator,417, Grass,0
Prey, 1488, Predator,419, Grass,0
Prey, 1543, Predator,417, Grass,0
Prey, 1592, Predator,414, Grass,0
Prey, 1642, Predator,410, Grass,0
Prey, 1696, Predator,416, Grass,0
Prey, 1753, Predator,413, Grass,0
Prey, 1816, Predator,416, Grass,0
Prey, 1884, Predator,418, Grass,0
Prey, 1949, Predator,431, Grass,0
Prey, 2020, Predator,435, Grass,0
Prey, 2093, Predator,448, Grass,0
Prey, 2158, Predator,453, Grass,0
Prey, 2231, Predator,460, Grass,0
Prey, 2301, Predator,467, Grass,0
Prey, 2366, Predator,476, Grass,0
Prey, 2423, Predator,486, Grass,0
Prey, 2504, Predator,486, Grass,0
Prey, 2601, Predator,499, Grass,0
Prey, 2681, Predator,508, Grass,0
Prey, 2785, Predator,518, Grass,0
Prey, 2858, Predator,533, Grass,0
Prey, 2939, Predator,555, Grass,0
Prey, 2993, Predator,563, Grass,0
Prey, 3098, Predator,568, Grass,0
Prey, 3175, Predator,582, Grass,0
Prey, 3271, Predator,592, Grass,0
Prey, 3366, Predator,602, Grass,0
Prey, 3444, Predator,614, Grass,0
Prey, 3520, Predator,621, Grass,0
Prey, 3600, Predator,645, Grass,0
Prey, 3717, Predator,661, Grass,0
Prey, 3814, Predator,676, Grass,0
Prey, 3919, Predator,696, Grass,0
Prey, 4012, Predator,720, Grass,0
Prey, 4096, Predator,740, Grass,0
Prey, 4218, Predator,759, Grass,0
Prey, 4329, Predator,782, Grass,0
Prey, 4407, Predator,808, Grass,0
Prey, 4449, Predator,839, Grass,0
Prey, 4523, Predator,869, Grass,0
Prey, 4584, Predator,887, Grass,0
Prey, 4661, Predator,914, Grass,0
